Image Name,Correct Prediction,True Label,Predicted Label,Probabilities
data/test\cats\cat.1376.jpg,True,cat,cat,"['64.75%', '35.25%']"
data/test\cats\cat.1377.jpg,True,cat,cat,"['99.81%', '0.19%']"
data/test\cats\cat.1378.jpg,True,cat,cat,"['99.99%', '0.01%']"
data/test\cats\cat.1379.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1380.jpg,True,cat,cat,"['99.99%', '0.01%']"
data/test\cats\cat.1381.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1382.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1383.jpg,True,cat,cat,"['97.81%', '2.19%']"
data/test\cats\cat.1384.jpg,True,cat,cat,"['99.97%', '0.03%']"
data/test\cats\cat.1385.jpg,True,cat,cat,"['99.99%', '0.01%']"
data/test\cats\cat.1386.jpg,True,cat,cat,"['98.38%', '1.62%']"
data/test\cats\cat.1387.jpg,True,cat,cat,"['97.00%', '3.00%']"
data/test\cats\cat.1388.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1389.jpg,True,cat,cat,"['99.99%', '0.01%']"
data/test\cats\cat.1390.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1391.jpg,True,cat,cat,"['99.84%', '0.16%']"
data/test\cats\cat.1392.jpg,True,cat,cat,"['99.99%', '0.01%']"
data/test\cats\cat.1393.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1394.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1395.jpg,True,cat,cat,"['96.95%', '3.05%']"
data/test\cats\cat.1396.jpg,True,cat,cat,"['99.98%', '0.02%']"
data/test\cats\cat.1397.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1398.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1399.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1400.jpg,True,cat,cat,"['99.98%', '0.02%']"
data/test\cats\cat.1401.jpg,True,cat,cat,"['96.32%', '3.68%']"
data/test\cats\cat.1402.jpg,True,cat,cat,"['88.18%', '11.82%']"
data/test\cats\cat.1403.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1404.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1405.jpg,True,cat,cat,"['99.81%', '0.19%']"
data/test\cats\cat.1406.jpg,False,cat,dog,"['36.99%', '63.01%']"
data/test\cats\cat.1407.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1408.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1409.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1410.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1411.jpg,True,cat,cat,"['97.55%', '2.45%']"
data/test\cats\cat.1412.jpg,True,cat,cat,"['99.99%', '0.01%']"
data/test\cats\cat.1413.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1414.jpg,True,cat,cat,"['99.20%', '0.80%']"
data/test\cats\cat.1415.jpg,True,cat,cat,"['99.99%', '0.01%']"
data/test\cats\cat.1416.jpg,True,cat,cat,"['99.91%', '0.09%']"
data/test\cats\cat.1417.jpg,False,cat,dog,"['2.56%', '97.44%']"
data/test\cats\cat.1418.jpg,True,cat,cat,"['85.78%', '14.22%']"
data/test\cats\cat.1419.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1420.jpg,True,cat,cat,"['99.98%', '0.02%']"
data/test\cats\cat.1421.jpg,True,cat,cat,"['99.72%', '0.28%']"
data/test\cats\cat.1422.jpg,True,cat,cat,"['98.97%', '1.03%']"
data/test\cats\cat.1423.jpg,False,cat,dog,"['5.87%', '94.13%']"
data/test\cats\cat.1424.jpg,True,cat,cat,"['99.94%', '0.06%']"
data/test\cats\cat.1425.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1426.jpg,True,cat,cat,"['92.08%', '7.92%']"
data/test\cats\cat.1427.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1428.jpg,True,cat,cat,"['95.55%', '4.45%']"
data/test\cats\cat.1429.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1430.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1431.jpg,True,cat,cat,"['91.21%', '8.79%']"
data/test\cats\cat.1432.jpg,True,cat,cat,"['99.99%', '0.01%']"
data/test\cats\cat.1433.jpg,True,cat,cat,"['99.49%', '0.51%']"
data/test\cats\cat.1434.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1435.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1436.jpg,True,cat,cat,"['98.24%', '1.76%']"
data/test\cats\cat.1437.jpg,True,cat,cat,"['99.32%', '0.68%']"
data/test\cats\cat.1438.jpg,True,cat,cat,"['99.96%', '0.04%']"
data/test\cats\cat.1439.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1440.jpg,True,cat,cat,"['99.47%', '0.53%']"
data/test\cats\cat.1441.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1442.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1443.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1444.jpg,True,cat,cat,"['99.99%', '0.01%']"
data/test\cats\cat.1445.jpg,True,cat,cat,"['99.39%', '0.61%']"
data/test\cats\cat.1446.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1447.jpg,True,cat,cat,"['99.35%', '0.65%']"
data/test\cats\cat.1448.jpg,True,cat,cat,"['99.99%', '0.01%']"
data/test\cats\cat.1449.jpg,True,cat,cat,"['99.99%', '0.01%']"
data/test\cats\cat.1450.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1451.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1452.jpg,True,cat,cat,"['85.10%', '14.90%']"
data/test\cats\cat.1453.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1454.jpg,True,cat,cat,"['80.81%', '19.19%']"
data/test\cats\cat.1455.jpg,True,cat,cat,"['99.94%', '0.06%']"
data/test\cats\cat.1456.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1457.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1458.jpg,True,cat,cat,"['99.87%', '0.13%']"
data/test\cats\cat.1459.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1460.jpg,True,cat,cat,"['99.99%', '0.01%']"
data/test\cats\cat.1461.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1462.jpg,True,cat,cat,"['87.54%', '12.46%']"
data/test\cats\cat.1463.jpg,True,cat,cat,"['99.99%', '0.01%']"
data/test\cats\cat.1464.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1465.jpg,True,cat,cat,"['99.98%', '0.02%']"
data/test\cats\cat.1466.jpg,True,cat,cat,"['99.79%', '0.21%']"
data/test\cats\cat.1467.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1468.jpg,True,cat,cat,"['99.18%', '0.82%']"
data/test\cats\cat.1469.jpg,True,cat,cat,"['76.61%', '23.39%']"
data/test\cats\cat.1470.jpg,True,cat,cat,"['99.89%', '0.11%']"
data/test\cats\cat.1471.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1472.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1473.jpg,True,cat,cat,"['99.07%', '0.93%']"
data/test\cats\cat.1474.jpg,False,cat,dog,"['0.07%', '99.93%']"
data/test\cats\cat.1475.jpg,True,cat,cat,"['99.80%', '0.20%']"
data/test\cats\cat.1476.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1477.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1478.jpg,True,cat,cat,"['99.97%', '0.03%']"
data/test\cats\cat.1479.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1480.jpg,True,cat,cat,"['99.85%', '0.15%']"
data/test\cats\cat.1481.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1482.jpg,True,cat,cat,"['99.87%', '0.13%']"
data/test\cats\cat.1483.jpg,True,cat,cat,"['98.89%', '1.11%']"
data/test\cats\cat.1484.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1485.jpg,True,cat,cat,"['99.38%', '0.62%']"
data/test\cats\cat.1486.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1487.jpg,True,cat,cat,"['99.99%', '0.01%']"
data/test\cats\cat.1488.jpg,True,cat,cat,"['99.97%', '0.03%']"
data/test\cats\cat.1489.jpg,True,cat,cat,"['99.40%', '0.60%']"
data/test\cats\cat.1490.jpg,True,cat,cat,"['99.83%', '0.17%']"
data/test\cats\cat.1491.jpg,True,cat,cat,"['99.90%', '0.10%']"
data/test\cats\cat.1492.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1493.jpg,True,cat,cat,"['99.98%', '0.02%']"
data/test\cats\cat.1494.jpg,True,cat,cat,"['98.84%', '1.16%']"
data/test\cats\cat.1495.jpg,True,cat,cat,"['99.93%', '0.07%']"
data/test\cats\cat.1496.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1497.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1498.jpg,True,cat,cat,"['99.53%', '0.47%']"
data/test\cats\cat.1499.jpg,True,cat,cat,"['99.96%', '0.04%']"
data/test\dogs\dog.1300.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1301.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1302.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1303.jpg,True,dog,dog,"['0.01%', '99.99%']"
data/test\dogs\dog.1304.jpg,True,dog,dog,"['0.01%', '99.99%']"
data/test\dogs\dog.1305.jpg,True,dog,dog,"['0.07%', '99.93%']"
data/test\dogs\dog.1306.jpg,True,dog,dog,"['0.05%', '99.95%']"
data/test\dogs\dog.1307.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1308.jpg,True,dog,dog,"['0.70%', '99.30%']"
data/test\dogs\dog.1309.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1310.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1311.jpg,True,dog,dog,"['0.06%', '99.94%']"
data/test\dogs\dog.1312.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1313.jpg,True,dog,dog,"['13.62%', '86.38%']"
data/test\dogs\dog.1314.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1315.jpg,True,dog,dog,"['12.66%', '87.34%']"
data/test\dogs\dog.1316.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1317.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1318.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1319.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1320.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1321.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1322.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1323.jpg,True,dog,dog,"['2.73%', '97.27%']"
data/test\dogs\dog.1324.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1325.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1326.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1327.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1328.jpg,True,dog,dog,"['0.09%', '99.91%']"
data/test\dogs\dog.1329.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1330.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1331.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1332.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1333.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1334.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1335.jpg,False,dog,cat,"['70.76%', '29.24%']"
data/test\dogs\dog.1336.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1337.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1338.jpg,False,dog,cat,"['94.76%', '5.24%']"
data/test\dogs\dog.1339.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1340.jpg,True,dog,dog,"['0.61%', '99.39%']"
data/test\dogs\dog.1341.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1342.jpg,True,dog,dog,"['0.01%', '99.99%']"
data/test\dogs\dog.1343.jpg,True,dog,dog,"['0.03%', '99.97%']"
data/test\dogs\dog.1344.jpg,True,dog,dog,"['0.34%', '99.66%']"
data/test\dogs\dog.1345.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1346.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1347.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1348.jpg,False,dog,cat,"['70.13%', '29.87%']"
data/test\dogs\dog.1349.jpg,True,dog,dog,"['0.38%', '99.62%']"
data/test\dogs\dog.1350.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1351.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1352.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1353.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1354.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1355.jpg,True,dog,dog,"['12.34%', '87.66%']"
data/test\dogs\dog.1356.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1357.jpg,False,dog,cat,"['99.52%', '0.48%']"
data/test\dogs\dog.1358.jpg,True,dog,dog,"['1.71%', '98.29%']"
data/test\dogs\dog.1359.jpg,True,dog,dog,"['0.12%', '99.88%']"
data/test\dogs\dog.1360.jpg,True,dog,dog,"['3.38%', '96.62%']"
data/test\dogs\dog.1361.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1362.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1363.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1364.jpg,True,dog,dog,"['25.36%', '74.64%']"
data/test\dogs\dog.1365.jpg,True,dog,dog,"['0.29%', '99.71%']"
data/test\dogs\dog.1366.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1367.jpg,True,dog,dog,"['0.01%', '99.99%']"
data/test\dogs\dog.1368.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1369.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1370.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1371.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1372.jpg,False,dog,cat,"['72.00%', '28.00%']"
data/test\dogs\dog.1373.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1374.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1375.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1376.jpg,True,dog,dog,"['0.01%', '99.99%']"
data/test\dogs\dog.1377.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1378.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1379.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1380.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1381.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1382.jpg,True,dog,dog,"['0.04%', '99.96%']"
data/test\dogs\dog.1383.jpg,True,dog,dog,"['1.18%', '98.82%']"
data/test\dogs\dog.1384.jpg,True,dog,dog,"['1.54%', '98.46%']"
data/test\dogs\dog.1385.jpg,False,dog,cat,"['95.53%', '4.47%']"
data/test\dogs\dog.1386.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1387.jpg,True,dog,dog,"['12.72%', '87.28%']"
data/test\dogs\dog.1388.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1389.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1390.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1391.jpg,True,dog,dog,"['0.01%', '99.99%']"
data/test\dogs\dog.1392.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1393.jpg,True,dog,dog,"['0.06%', '99.94%']"
data/test\dogs\dog.1394.jpg,True,dog,dog,"['0.02%', '99.98%']"
data/test\dogs\dog.1395.jpg,False,dog,cat,"['99.93%', '0.07%']"
data/test\dogs\dog.1396.jpg,True,dog,dog,"['4.09%', '95.91%']"
data/test\dogs\dog.1397.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1398.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1399.jpg,True,dog,dog,"['1.37%', '98.63%']"
data/test\dogs\dog.1400.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1401.jpg,True,dog,dog,"['3.15%', '96.85%']"
data/test\dogs\dog.1402.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1403.jpg,True,dog,dog,"['0.08%', '99.92%']"
data/test\dogs\dog.1404.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1405.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1406.jpg,True,dog,dog,"['0.10%', '99.90%']"
data/test\dogs\dog.1407.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1408.jpg,True,dog,dog,"['13.76%', '86.24%']"
data/test\dogs\dog.1409.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1410.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1411.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1412.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1413.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1414.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1415.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1416.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1417.jpg,True,dog,dog,"['0.17%', '99.83%']"
data/test\dogs\dog.1418.jpg,True,dog,dog,"['5.22%', '94.78%']"
data/test\dogs\dog.1419.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1420.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1421.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1422.jpg,True,dog,dog,"['0.16%', '99.84%']"
data/test\dogs\dog.1423.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1424.jpg,True,dog,dog,"['23.43%', '76.57%']"
data/test\dogs\dog.1425.jpg,True,dog,dog,"['0.03%', '99.97%']"
data/test\dogs\dog.1426.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1427.jpg,True,dog,dog,"['0.25%', '99.75%']"
data/test\dogs\dog.1428.jpg,False,dog,cat,"['78.19%', '21.81%']"
data/test\dogs\dog.1429.jpg,True,dog,dog,"['10.96%', '89.04%']"
data/test\dogs\dog.1430.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1431.jpg,True,dog,dog,"['3.97%', '96.03%']"
data/test\dogs\dog.1432.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1433.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1434.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1435.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1436.jpg,True,dog,dog,"['0.01%', '99.99%']"
data/test\dogs\dog.1437.jpg,True,dog,dog,"['0.01%', '99.99%']"
data/test\dogs\dog.1438.jpg,True,dog,dog,"['0.00%', '100.00%']"
data/test\dogs\dog.1439.jpg,True,dog,dog,"['0.49%', '99.51%']"
data/test\dogs\dog.1440.jpg,True,dog,dog,"['0.04%', '99.96%']"
data/test\dogs\dog.1441.jpg,True,dog,dog,"['47.96%', '52.04%']"
data/test\dogs\dog.1442.jpg,True,dog,dog,"['12.39%', '87.61%']"
data/test\dogs\dog.1443.jpg,True,dog,dog,"['8.65%', '91.35%']"
